cod_curso,curso,duracao,cliente,importe_cliente,professor,importe_professor,data_curso,turno,comercial,importe_comercial,pagamento_cliente,pais,cidade,pagamento_comercial
CÓD-135,DESIGN,20,CLIENTE-005, 600.00 € ,PROFESSOR-001, 240.00 € ,18/01/2019,MANHÃ,COMERCIAL-001, 48.00 € ,NÃO,FRANÇA,MARSELHA,NÃO
CÓD-136,DESIGN,25,CLIENTE-003, 750.00 € ,PROFESSOR-004, 300.00 € ,30/09/2021,TARDE,COMERCIAL-002, 60.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-137,DESIGN,30,CLIENTE-004, 750.00 € ,PROFESSOR-005, 360.00 € ,02/11/2021,MANHÃ,COMERCIAL-004, 37.50 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-138,ACCESS,40,CLIENTE-003," 1,000.00 € ",PROFESSOR-002, 480.00 € ,03/06/2020,MANHÃ,COMERCIAL-001, 50.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-139,ACCESS,35,CLIENTE-006, 875.00 € ,PROFESSOR-001, 420.00 € ,22/03/2020,MANHÃ,COMERCIAL-003, 43.75 € ,SIM,FRANÇA,PARIS,SIM
CÓD-140,ACCESS,45,CLIENTE-004," 1,125.00 € ",PROFESSOR-004, 540.00 € ,13/04/2020,MANHÃ,COMERCIAL-002, 56.25 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-141,ACCESS,18,CLIENTE-007, 450.00 € ,PROFESSOR-003, 216.00 € ,23/09/2020,TARDE,COMERCIAL-004, 22.50 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-142,EXCEL,10,CLIENTE-005, 750.00 € ,PROFESSOR-002, 120.00 € ,28/09/2021,TARDE,COMERCIAL-003, 112.50 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-143,EXCEL,12,CLIENTE-006, 720.00 € ,PROFESSOR-001, 144.00 € ,13/02/2020,MANHÃ,COMERCIAL-002, 86.40 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-144,EXCEL,15,CLIENTE-008, 900.00 € ,PROFESSOR-004, 180.00 € ,13/11/2021,TARDE,COMERCIAL-004, 108.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-145,WORD,25,CLIENTE-003," 1,500.00 € ",PROFESSOR-005, 300.00 € ,17/04/2021,MANHÃ,COMERCIAL-001, 180.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-146,WORD,15,CLIENTE-005, 600.00 € ,PROFESSOR-002, 180.00 € ,03/07/2021,MANHÃ,COMERCIAL-003, 60.00 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-147,WORD,10,CLIENTE-006, 400.00 € ,PROFESSOR-001, 120.00 € ,02/10/2021,MANHÃ,COMERCIAL-002, 40.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-148,WORD,12,CLIENTE-004, 480.00 € ,PROFESSOR-004, 144.00 € ,26/08/2020,MANHÃ,COMERCIAL-004, 48.00 € ,NÃO,ESPANHA,MADRI,SIM
CÓD-149,EXCEL,15,CLIENTE-007, 600.00 € ,PROFESSOR-005, 180.00 € ,17/08/2019,TARDE,COMERCIAL-001, 60.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-150,ACCESS,25,CLIENTE-007, 750.00 € ,PROFESSOR-002, 300.00 € ,08/09/2021,TARDE,COMERCIAL-002, 60.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-151,WORD,15,CLIENTE-006, 450.00 € ,PROFESSOR-001, 180.00 € ,14/01/2021,TARDE,COMERCIAL-004, 36.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-152,WORD,20,CLIENTE-005, 600.00 € ,PROFESSOR-004, 240.00 € ,12/08/2021,TARDE,COMERCIAL-001, 48.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-153,WORD,20,CLIENTE-008, 500.00 € ,PROFESSOR-003, 240.00 € ,26/07/2019,NOITE,COMERCIAL-003, 35.00 € ,SIM,ESPANHA,MADRI,NÃO
CÓD-154,EXCEL,30,CLIENTE-008, 750.00 € ,PROFESSOR-002, 360.00 € ,04/06/2021,NOITE,COMERCIAL-002, 52.50 € ,SIM,ESPANHA,MADRI,SIM
CÓD-155,EXCEL,35,CLIENTE-007, 875.00 € ,PROFESSOR-001, 420.00 € ,13/04/2020,NOITE,COMERCIAL-004, 61.25 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-156,EXCEL,40,CLIENTE-005," 1,000.00 € ",PROFESSOR-001, 480.00 € ,07/02/2021,TARDE,COMERCIAL-003, 70.00 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-157,INTERNET,40,CLIENTE-003," 1,200.00 € ",PROFESSOR-004, 480.00 € ,02/01/2019,TARDE,COMERCIAL-002, 96.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-158,WINDOWS,35,CLIENTE-005," 1,400.00 € ",PROFESSOR-005, 420.00 € ,04/10/2019,TARDE,COMERCIAL-004, 140.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-159,WORD,45,CLIENTE-004," 1,125.00 € ",PROFESSOR-002, 540.00 € ,10/12/2019,TARDE,COMERCIAL-001, 78.75 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-160,WORD,25,CLIENTE-003, 625.00 € ,PROFESSOR-001, 300.00 € ,15/11/2019,NOITE,COMERCIAL-002, 43.75 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-161,WORD,20,CLIENTE-005, 500.00 € ,PROFESSOR-004, 240.00 € ,23/03/2019,NOITE,COMERCIAL-004, 35.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-162,EXCEL,10,CLIENTE-003, 300.00 € ,PROFESSOR-003, 120.00 € ,15/02/2019,NOITE,COMERCIAL-001, 24.00 € ,NÃO,ITÁLIA,MILÃO,NÃO
CÓD-163,EXCEL,12,CLIENTE-004, 360.00 € ,PROFESSOR-002, 144.00 € ,09/09/2019,NOITE,COMERCIAL-003, 28.80 € ,NÃO,ESPANHA,VALLADOLID,NÃO
CÓD-164,EXCEL,15,CLIENTE-003, 450.00 € ,PROFESSOR-001, 180.00 € ,14/05/2020,NOITE,COMERCIAL-002, 36.00 € ,NÃO,ITÁLIA,ROMA,SIM
CÓD-165,INTERNET,20,CLIENTE-006, 500.00 € ,PROFESSOR-004, 240.00 € ,05/09/2020,TARDE,COMERCIAL-004, 25.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-166,WINDOWS,25,CLIENTE-001, 625.00 € ,PROFESSOR-005, 300.00 € ,07/05/2021,MANHÃ,COMERCIAL-001, 31.25 € ,NÃO,ESPANHA,MADRI,NÃO
CÓD-167,WINDOWS,30,CLIENTE-002, 750.00 € ,PROFESSOR-002, 360.00 € ,20/08/2019,TARDE,COMERCIAL-003, 37.50 € ,NÃO,ITÁLIA,ROMA,NÃO
CÓD-168,WINDOWS,40,CLIENTE-004," 1,000.00 € ",PROFESSOR-001, 480.00 € ,21/06/2021,MANHÃ,COMERCIAL-002, 50.00 € ,NÃO,ESPANHA,MADRI,SIM
CÓD-169,INTERNET,35,CLIENTE-003, 875.00 € ,PROFESSOR-004, 420.00 € ,25/09/2019,MANHÃ,COMERCIAL-004, 43.75 € ,NÃO,ITÁLIA,ROMA,SIM
CÓD-170,PROGRAMAÇÃO,45,CLIENTE-005," 3,375.00 € ",PROFESSOR-005, 540.00 € ,18/01/2021,MANHÃ,COMERCIAL-001, 506.25 € ,NÃO,FRANÇA,MARSELHA,NÃO
CÓD-171,DESIGN,18,CLIENTE-003," 1,080.00 € ",PROFESSOR-002, 216.00 € ,19/03/2019,MANHÃ,COMERCIAL-002, 129.60 € ,SIM,ITÁLIA,ROMA,SIM
CÓD-172,DESIGN,10,CLIENTE-004, 600.00 € ,PROFESSOR-001, 120.00 € ,26/10/2019,TARDE,COMERCIAL-004, 72.00 € ,NÃO,ESPANHA,MADRI,SIM
CÓD-173,DESIGN,45,CLIENTE-003," 2,700.00 € ",PROFESSOR-003, 540.00 € ,28/05/2019,TARDE,COMERCIAL-001, 324.00 € ,SIM,ITÁLIA,ROMA,NÃO
CÓD-174,ACCESS,25,CLIENTE-006," 1,000.00 € ",PROFESSOR-002, 300.00 € ,09/07/2019,TARDE,COMERCIAL-003, 100.00 € ,SIM,FRANÇA,MARSELHA,NÃO
CÓD-175,ACCESS,20,CLIENTE-004, 800.00 € ,PROFESSOR-001, 240.00 € ,05/05/2020,TARDE,COMERCIAL-002, 80.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-176,ACCESS,10,CLIENTE-007, 400.00 € ,PROFESSOR-004, 120.00 € ,19/04/2019,NOITE,COMERCIAL-004, 40.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-177,ACCESS,12,CLIENTE-005, 480.00 € ,PROFESSOR-005, 144.00 € ,15/03/2020,NOITE,COMERCIAL-003, 48.00 € ,SIM,FRANÇA,MARSELHA,NÃO
CÓD-178,EXCEL,15,CLIENTE-006, 450.00 € ,PROFESSOR-002, 180.00 € ,12/04/2019,NOITE,COMERCIAL-002, 36.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-179,EXCEL,20,CLIENTE-008, 600.00 € ,PROFESSOR-001, 240.00 € ,13/11/2019,TARDE,COMERCIAL-004, 48.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-180,EXCEL,25,CLIENTE-003, 750.00 € ,PROFESSOR-004, 300.00 € ,04/12/2019,TARDE,COMERCIAL-001, 60.00 € ,SIM,ITÁLIA,MILÃO,NÃO
CÓD-181,WORD,30,CLIENTE-005, 750.00 € ,PROFESSOR-003, 360.00 € ,31/03/2019,TARDE,COMERCIAL-003, 52.50 € ,SIM,FRANÇA,MARSELHA,NÃO
CÓD-182,WORD,40,CLIENTE-006," 1,000.00 € ",PROFESSOR-002, 480.00 € ,09/11/2021,TARDE,COMERCIAL-002, 70.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-183,EXCEL,35,CLIENTE-004," 1,050.00 € ",PROFESSOR-001, 420.00 € ,13/11/2019,NOITE,COMERCIAL-004, 84.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-184,ACCESS,45,CLIENTE-007," 1,800.00 € ",PROFESSOR-004, 540.00 € ,25/09/2020,NOITE,COMERCIAL-001, 180.00 € ,SIM,ESPANHA,VALÊNCIA,NÃO
CÓD-185,WORD,18,CLIENTE-007, 450.00 € ,PROFESSOR-005, 216.00 € ,25/03/2021,NOITE,COMERCIAL-002, 31.50 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-186,WORD,10,CLIENTE-006, 250.00 € ,PROFESSOR-002, 120.00 € ,12/01/2019,NOITE,COMERCIAL-004, 17.50 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-187,WORD,12,CLIENTE-005, 300.00 € ,PROFESSOR-001, 144.00 € ,21/09/2021,NOITE,COMERCIAL-001, 21.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-188,EXCEL,15,CLIENTE-008, 450.00 € ,PROFESSOR-004, 180.00 € ,08/01/2019,TARDE,COMERCIAL-003, 36.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-189,EXCEL,25,CLIENTE-008, 750.00 € ,PROFESSOR-005, 300.00 € ,07/04/2021,NOITE,COMERCIAL-002, 60.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-190,EXCEL,15,CLIENTE-007, 450.00 € ,PROFESSOR-002, 180.00 € ,13/03/2019,NOITE,COMERCIAL-004, 36.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-191,INTERNET,10,CLIENTE-005, 250.00 € ,PROFESSOR-001, 120.00 € ,24/04/2019,NOITE,COMERCIAL-003, 12.50 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-192,WINDOWS,12,CLIENTE-003, 300.00 € ,PROFESSOR-004, 144.00 € ,16/05/2019,TARDE,COMERCIAL-002, 15.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-193,WINDOWS,15,CLIENTE-005, 375.00 € ,PROFESSOR-003, 180.00 € ,05/12/2020,TARDE,COMERCIAL-004, 18.75 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-194,WINDOWS,25,CLIENTE-004, 625.00 € ,PROFESSOR-002, 300.00 € ,01/11/2019,TARDE,COMERCIAL-001, 31.25 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-195,INTERNET,15,CLIENTE-003, 375.00 € ,PROFESSOR-001, 180.00 € ,24/10/2021,TARDE,COMERCIAL-002, 18.75 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-196,PROGRAMAÇÃO,20,CLIENTE-005," 1,500.00 € ",PROFESSOR-001, 240.00 € ,26/06/2021,NOITE,COMERCIAL-004, 225.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-197,DESIGN,20,CLIENTE-003," 1,200.00 € ",PROFESSOR-004, 240.00 € ,02/06/2019,NOITE,COMERCIAL-001, 144.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-198,DESIGN,30,CLIENTE-004," 1,800.00 € ",PROFESSOR-005, 360.00 € ,30/12/2020,NOITE,COMERCIAL-003, 216.00 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-199,DESIGN,35,CLIENTE-003," 2,100.00 € ",PROFESSOR-002, 420.00 € ,14/02/2021,NOITE,COMERCIAL-002, 252.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-200,ACCESS,40,CLIENTE-006," 1,600.00 € ",PROFESSOR-001, 480.00 € ,29/10/2019,NOITE,COMERCIAL-004, 160.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-201,ACCESS,40,CLIENTE-004," 1,600.00 € ",PROFESSOR-004, 480.00 € ,30/07/2021,TARDE,COMERCIAL-003, 160.00 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-202,ACCESS,35,CLIENTE-007," 1,400.00 € ",PROFESSOR-003, 420.00 € ,29/04/2020,MANHÃ,COMERCIAL-002, 140.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-203,ACCESS,10,CLIENTE-005, 400.00 € ,PROFESSOR-002, 120.00 € ,03/12/2021,TARDE,COMERCIAL-004, 40.00 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-204,EXCEL,12,CLIENTE-006, 360.00 € ,PROFESSOR-001, 144.00 € ,07/08/2020,MANHÃ,COMERCIAL-001, 28.80 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-205,EXCEL,15,CLIENTE-008, 450.00 € ,PROFESSOR-004, 180.00 € ,09/01/2021,MANHÃ,COMERCIAL-003, 36.00 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-206,EXCEL,25,CLIENTE-003, 750.00 € ,PROFESSOR-005, 300.00 € ,09/08/2019,MANHÃ,COMERCIAL-002, 60.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-207,WORD,15,CLIENTE-005, 375.00 € ,PROFESSOR-002, 180.00 € ,15/05/2019,MANHÃ,COMERCIAL-004, 26.25 € ,SIM,FRANÇA,PARIS,SIM
CÓD-208,WORD,10,CLIENTE-006, 250.00 € ,PROFESSOR-001, 120.00 € ,29/08/2021,TARDE,COMERCIAL-001, 17.50 € ,NÃO,FRANÇA,PARIS,NÃO
CÓD-209,WORD,12,CLIENTE-004, 300.00 € ,PROFESSOR-004, 144.00 € ,09/08/2020,TARDE,COMERCIAL-002, 21.00 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-210,WORD,15,CLIENTE-007, 375.00 € ,PROFESSOR-005, 180.00 € ,17/03/2021,TARDE,COMERCIAL-004, 26.25 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-211,EXCEL,25,CLIENTE-007, 750.00 € ,PROFESSOR-002, 300.00 € ,09/11/2020,TARDE,COMERCIAL-001, 60.00 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-212,ACCESS,15,CLIENTE-006, 600.00 € ,PROFESSOR-001, 180.00 € ,26/08/2019,NOITE,COMERCIAL-003, 60.00 € ,NÃO,FRANÇA,PARIS,NÃO
CÓD-213,WORD,20,CLIENTE-005, 500.00 € ,PROFESSOR-004, 240.00 € ,01/02/2020,NOITE,COMERCIAL-003, 35.00 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-214,WORD,20,CLIENTE-008, 500.00 € ,PROFESSOR-005, 240.00 € ,09/10/2019,NOITE,COMERCIAL-002, 35.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-215,WORD,30,CLIENTE-001, 750.00 € ,PROFESSOR-002, 360.00 € ,01/09/2019,TARDE,COMERCIAL-004, 52.50 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-216,EXCEL,35,CLIENTE-002," 1,050.00 € ",PROFESSOR-001, 420.00 € ,28/08/2021,TARDE,COMERCIAL-001, 84.00 € ,SIM,ITÁLIA,MILÃO,NÃO
CÓD-217,EXCEL,40,CLIENTE-004," 1,200.00 € ",PROFESSOR-004, 480.00 € ,20/03/2019,TARDE,COMERCIAL-002, 96.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-218,EXCEL,40,CLIENTE-003," 1,200.00 € ",PROFESSOR-003, 480.00 € ,22/02/2020,TARDE,COMERCIAL-004, 96.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-219,INTERNET,35,CLIENTE-005, 875.00 € ,PROFESSOR-002, 420.00 € ,01/06/2021,NOITE,COMERCIAL-001, 43.75 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-220,WINDOWS,45,CLIENTE-003," 1,125.00 € ",PROFESSOR-001, 540.00 € ,28/06/2020,MANHÃ,COMERCIAL-003, 56.25 € ,SIM,ITÁLIA,MILÃO,NÃO
CÓD-221,WINDOWS,25,CLIENTE-004, 625.00 € ,PROFESSOR-004, 300.00 € ,02/08/2020,MANHÃ,COMERCIAL-002, 31.25 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-222,WINDOWS,20,CLIENTE-003, 500.00 € ,PROFESSOR-005, 240.00 € ,06/08/2021,MANHÃ,COMERCIAL-004, 25.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-223,INTERNET,10,CLIENTE-006, 250.00 € ,PROFESSOR-002, 120.00 € ,14/12/2019,MANHÃ,COMERCIAL-003, 12.50 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-224,PROGRAMAÇÃO,12,CLIENTE-004, 900.00 € ,PROFESSOR-001, 144.00 € ,14/05/2021,TARDE,COMERCIAL-002, 135.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-225,DESIGN,15,CLIENTE-007, 900.00 € ,PROFESSOR-004, 180.00 € ,30/01/2021,TARDE,COMERCIAL-004, 108.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-226,DESIGN,20,CLIENTE-005," 1,200.00 € ",PROFESSOR-005, 240.00 € ,14/06/2019,TARDE,COMERCIAL-001, 144.00 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-227,DESIGN,25,CLIENTE-006," 1,500.00 € ",PROFESSOR-002, 300.00 € ,25/04/2019,TARDE,COMERCIAL-003, 180.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-228,EXCEL,30,CLIENTE-008," 1,200.00 € ",PROFESSOR-001, 360.00 € ,18/05/2019,NOITE,COMERCIAL-002, 120.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-229,INTERNET,40,CLIENTE-003," 1,600.00 € ",PROFESSOR-004, 480.00 € ,18/06/2019,NOITE,COMERCIAL-004, 160.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-230,WINDOWS,35,CLIENTE-005," 1,400.00 € ",PROFESSOR-003, 420.00 € ,17/02/2019,NOITE,COMERCIAL-001, 140.00 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-231,WINDOWS,45,CLIENTE-006," 1,800.00 € ",PROFESSOR-002, 540.00 € ,16/10/2019,TARDE,COMERCIAL-002, 180.00 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-232,WINDOWS,18,CLIENTE-004, 540.00 € ,PROFESSOR-001, 216.00 € ,06/01/2019,TARDE,COMERCIAL-004, 43.20 € ,NÃO,ESPANHA,VALÊNCIA,SIM
CÓD-233,INTERNET,10,CLIENTE-007, 300.00 € ,PROFESSOR-001, 120.00 € ,20/09/2020,TARDE,COMERCIAL-001, 24.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-234,PROGRAMAÇÃO,45,CLIENTE-007," 1,350.00 € ",PROFESSOR-004, 540.00 € ,30/08/2019,TARDE,COMERCIAL-003, 108.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-235,DESIGN,25,CLIENTE-006, 625.00 € ,PROFESSOR-005, 300.00 € ,10/03/2019,NOITE,COMERCIAL-002, 43.75 € ,SIM,FRANÇA,PARIS,SIM
CÓD-236,DESIGN,20,CLIENTE-005, 500.00 € ,PROFESSOR-002, 240.00 € ,08/05/2020,NOITE,COMERCIAL-004, 35.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-237,DESIGN,10,CLIENTE-008, 250.00 € ,PROFESSOR-001, 120.00 € ,28/08/2019,NOITE,COMERCIAL-003, 17.50 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-238,ACCESS,12,CLIENTE-008, 300.00 € ,PROFESSOR-004, 144.00 € ,06/04/2019,NOITE,COMERCIAL-002, 15.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-239,ACCESS,15,CLIENTE-007," 1,125.00 € ",PROFESSOR-003, 180.00 € ,23/12/2020,NOITE,COMERCIAL-004, 168.75 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-240,ACCESS,20,CLIENTE-005," 1,200.00 € ",PROFESSOR-002, 240.00 € ,08/12/2020,TARDE,COMERCIAL-001, 144.00 € ,NÃO,FRANÇA,PARIS,NÃO
CÓD-241,ACCESS,25,CLIENTE-003," 1,500.00 € ",PROFESSOR-001, 300.00 € ,07/08/2021,MANHÃ,COMERCIAL-003, 180.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-242,EXCEL,30,CLIENTE-005," 1,800.00 € ",PROFESSOR-004, 360.00 € ,09/03/2019,TARDE,COMERCIAL-002, 216.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-243,EXCEL,40,CLIENTE-004," 1,600.00 € ",PROFESSOR-005, 480.00 € ,29/09/2021,MANHÃ,COMERCIAL-004, 160.00 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-244,EXCEL,35,CLIENTE-003," 1,400.00 € ",PROFESSOR-002, 420.00 € ,04/05/2020,MANHÃ,COMERCIAL-001, 140.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-245,WORD,45,CLIENTE-005," 1,800.00 € ",PROFESSOR-001, 540.00 € ,31/12/2020,MANHÃ,COMERCIAL-002, 180.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-246,WORD,18,CLIENTE-003, 720.00 € ,PROFESSOR-004, 216.00 € ,25/02/2020,MANHÃ,COMERCIAL-004, 72.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-247,ACCESS,10,CLIENTE-004, 300.00 € ,PROFESSOR-005, 120.00 € ,31/07/2021,TARDE,COMERCIAL-001, 24.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-248,ACCESS,12,CLIENTE-003, 360.00 € ,PROFESSOR-002, 144.00 € ,30/05/2020,TARDE,COMERCIAL-003, 28.80 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-249,EXCEL,15,CLIENTE-006, 450.00 € ,PROFESSOR-001, 180.00 € ,13/01/2021,TARDE,COMERCIAL-002, 36.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-250,EXCEL,25,CLIENTE-001, 625.00 € ,PROFESSOR-003, 300.00 € ,12/12/2019,TARDE,COMERCIAL-004, 43.75 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-251,EXCEL,15,CLIENTE-002, 375.00 € ,PROFESSOR-002, 180.00 € ,26/12/2019,NOITE,COMERCIAL-003, 26.25 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-252,WORD,10,CLIENTE-004, 250.00 € ,PROFESSOR-001, 120.00 € ,16/03/2021,NOITE,COMERCIAL-002, 17.50 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-253,WORD,12,CLIENTE-003, 300.00 € ,PROFESSOR-004, 144.00 € ,29/06/2021,NOITE,COMERCIAL-004, 21.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-254,WORD,15,CLIENTE-005, 450.00 € ,PROFESSOR-005, 180.00 € ,12/11/2019,TARDE,COMERCIAL-001, 36.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-255,INTERNET,25,CLIENTE-003," 1,000.00 € ",PROFESSOR-002, 300.00 € ,22/09/2021,TARDE,COMERCIAL-002, 100.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-256,PROGRAMAÇÃO,15,CLIENTE-004, 375.00 € ,PROFESSOR-001, 180.00 € ,07/07/2021,TARDE,COMERCIAL-004, 26.25 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-257,DESIGN,20,CLIENTE-003, 500.00 € ,PROFESSOR-004, 240.00 € ,30/08/2020,TARDE,COMERCIAL-001, 35.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-258,DESIGN,20,CLIENTE-006, 500.00 € ,PROFESSOR-003, 240.00 € ,07/05/2021,NOITE,COMERCIAL-003, 35.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-259,DESIGN,30,CLIENTE-004, 900.00 € ,PROFESSOR-002, 360.00 € ,19/10/2021,NOITE,COMERCIAL-002, 72.00 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-260,ACCESS,35,CLIENTE-007," 1,050.00 € ",PROFESSOR-001, 420.00 € ,27/06/2021,NOITE,COMERCIAL-004, 84.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-261,ACCESS,40,CLIENTE-005," 1,200.00 € ",PROFESSOR-004, 480.00 € ,20/01/2019,NOITE,COMERCIAL-003, 96.00 € ,NÃO,FRANÇA,MARSELHA,NÃO
CÓD-262,ACCESS,18,CLIENTE-006, 450.00 € ,PROFESSOR-005, 216.00 € ,21/02/2020,NOITE,COMERCIAL-002, 22.50 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-263,ACCESS,10,CLIENTE-008, 250.00 € ,PROFESSOR-002, 120.00 € ,02/03/2020,TARDE,COMERCIAL-004, 12.50 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-264,EXCEL,45,CLIENTE-003," 1,125.00 € ",PROFESSOR-001, 540.00 € ,26/09/2019,NOITE,COMERCIAL-001, 56.25 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-265,EXCEL,25,CLIENTE-005, 625.00 € ,PROFESSOR-004, 300.00 € ,19/12/2019,NOITE,COMERCIAL-003, 31.25 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-266,EXCEL,20,CLIENTE-006, 500.00 € ,PROFESSOR-003, 240.00 € ,24/12/2021,NOITE,COMERCIAL-002, 25.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-267,WORD,10,CLIENTE-004, 750.00 € ,PROFESSOR-002, 120.00 € ,03/07/2021,TARDE,COMERCIAL-004, 112.50 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-268,WORD,12,CLIENTE-007, 720.00 € ,PROFESSOR-001, 144.00 € ,15/06/2020,TARDE,COMERCIAL-001, 86.40 € ,SIM,ESPANHA,VALLADOLID,SIM
